batch_size,seq_len,status,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb,time_sec,transferable_gb,transferable_mb,transferable_tokens_kv,bandwidth_gbps,timestamp
64,1024,OK,1.5790009552985431,0.4463756798952818,28.26950030634308,61.66998141168983,10.060518281967084,0.1751360004395246,0.0390402302145957,0.9737695956230163,0.034346804022789,0.2712396794557571,0.0093706790357828,0.1588556797802448,0.0529527515172958,,0.001579000955298543,0.020598147011353162,21.092502539625638,168.7400203170051,13.045050379629854,20260127_161939
1,2048,OK,0.8017081584781408,0.4890502393990755,61.00103064030499,14.270090456781094,24.728878902913927,0.1767481601983308,0.0055521982721984,0.1144044794142246,0.0059542250819504,0.3123020792007446,0.0063872900791466,0.1982534396648406,0.0051333275623619,,0.0008017081584781408,0.010458323317107622,10.709323076718205,85.67458461374564,13.045050379629854,20260127_161939
2,2048,OK,0.852755200713873,0.513397760540247,60.20458862173607,13.932439271316122,25.8629721069478,0.1951257605850696,0.0372891053557395,0.1188096004724502,0.0247961953282356,0.3182719999551773,0.0052686901763081,0.2205478397011757,0.0310240425169467,,0.000852755200713873,0.011124234554803842,11.391216184119134,91.12972947295307,13.045050379629854,20260127_161939
4,2048,OK,0.7435711992904543,0.4403193600103259,59.21683901023822,21.90372076775168,18.87944022201011,0.1825273604318499,0.0401985757052898,0.1628697592020034,0.0036394170019775,0.2577919995784759,0.0058217453770339,0.140382080078125,0.014877239242196,,0.0007435711992904543,0.009699923755585767,9.932721925719825,79.4617754057586,13.045050379629854,20260127_161939
8,2048,OK,0.8569932775571942,0.4321299185976386,50.42395663002141,32.97452219965229,16.6015211703263,0.1712351992353797,0.0175835136324167,0.2825894385576248,0.0280074328184127,0.2608947193622589,0.0046394518576562,0.1422739204019308,0.0103082302957773,,0.0008569932775571943,0.01117952048073771,11.447828972275415,91.58263177820332,13.045050379629854,20260127_161939
16,2048,OK,1.105776636712253,0.4449222406372428,40.23617662605953,46.15384143889118,13.60998193504929,0.1725561603531241,0.0163798537105321,0.510358395576477,0.0084812333807349,0.2723660802841186,0.0313918888568878,0.1504960004985332,0.028564479202032,,0.001105776636712253,0.014424911934529,14.771109820957696,118.16887856766157,13.045050379629854,20260127_161939
32,2048,OK,1.5346022399514916,0.432855040282011,28.20633445026729,62.00922003458743,9.784445515145269,0.1688275198638439,0.0155173121020197,0.9515948796272278,0.0211186166852712,0.2640275204181671,0.0111613320186734,0.1501523200422525,0.0158525761216878,,0.0015346022399514915,0.02001896353286003,20.499418657648672,163.99534926118938,13.045050379629854,20260127_161939
64,2048,OK,2.443898238055408,0.4440255988761782,18.168743360995517,75.74511126182556,6.086145377178938,0.1718054397031664,0.0211658049374818,1.851133439540863,0.0548131763935089,0.2722201591730118,0.0105009619146585,0.1487391996383667,0.0115080391988158,,0.002443898238055408,0.03188077563812144,32.64591425343635,261.1673140274908,13.045050379629854,20260127_161939
1,4096,OK,0.7565203192085028,0.4642195180803538,61.36246526280166,14.304821429781368,24.33271330741697,0.1486227200180292,0.0072875572368502,0.1082188807427883,0.0022193926852196,0.3155967980623245,0.0207058936357498,0.1840819203853607,0.0139576354995369,,0.0007565203192085028,0.009868845677288579,10.105697973543505,80.84558378834804,13.045050379629854,20260127_161939
2,4096,OK,0.7613331218063831,0.4433932822197676,58.23906375802316,24.71748495881444,17.04345128316241,0.1638976006954908,0.0297946762293577,0.1881823998689651,0.001785448519513,0.2794956815242767,0.0031062881462275,0.1297574397176504,0.0122838262468576,,0.0007613331218063831,0.00993162892964514,10.169988023956623,81.35990419165299,13.045050379629854,20260127_161939
4,4096,OK,0.8641798381507396,0.4452147181332111,51.51875784164638,33.24241401813402,15.238828140219606,0.163009278923273,0.0137523179873824,0.2872742396593093,0.0036741006188094,0.282205439209938,0.003439926309511,0.1316908803582191,0.0111140320077538,,0.0008641798381507396,0.011273269525736773,11.543827994354455,92.35062395483564,13.045050379629854,20260127_161939
8,4096,OK,1.1070764833688735,0.4426278412342072,39.9816858079466,48.105308912952616,11.91300527910079,0.1580883204936981,0.004570307675749,0.5325625622272492,0.002055016811937,0.284539520740509,0.0222762934863567,0.1318860799074173,0.0048513868823647,,0.0011070764833688736,0.014441868499650408,14.788473343642018,118.30778674913614,13.045050379629854,20260127_161939
