batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,time_sec,transferable_gb,transferable_mb,transferable_tokens_kv,bandwidth_gbps,timestamp
8,1024,OK,flash_attn,0.7615884791314602,0.4954348793625831,65.0528327224163,9.588548362027716,25.358618915555983,0.1856307199597358,0.0035292620304971,0.0730252796411514,0.0278014559298753,0.3098041594028473,0.0013516248436644,0.1931283201277256,0.0043968865647912,0.0007615884791314602,0.010605606603714228,10.86014116220337,86.88112929762696,13.925639494716622,20260129_092811
16,1024,OK,flash_attn,0.7737241604179144,0.4852352007478475,62.71423661964437,11.759105369098195,25.52665801125744,0.1694380804151296,0.0168260894715785,0.0909830392897129,0.0020271521061658,0.3157971203327179,0.002551837125793,0.1975059203803539,0.0320394299924373,0.0007737241604179144,0.010774603726332167,11.033194215764139,88.26555372611311,13.925639494716622,20260129_092811
32,1024,OK,flash_attn,0.7645247986912727,0.4511935991048812,59.01621502366472,22.532961631594205,18.45082334474109,0.1597567999362945,0.0081646163016557,0.1722700795531273,0.0017471724422648,0.2914367991685867,0.0094599137082695,0.1410611200332641,0.0052060508169233,0.0007645247986912727,0.010646496731345462,10.902012652897753,87.21610122318202,13.925639494716622,20260129_092811
64,1024,OK,flash_attn,0.8374937597662211,0.4399436793476343,52.53097998848859,30.47775317165539,16.991266839856014,0.1593081591278314,0.005814766511321,0.2552492809295654,0.002009279327467,0.2806355202198028,0.0009905323386192,0.1423007994890213,0.0029417150653898,0.0008374937597662211,0.011662636177579204,11.942539445841104,95.54031556672884,13.925639494716622,20260129_092811
1,2048,OK,flash_attn,0.7209388779103756,0.4650815977156162,64.51054478621604,8.21897137132448,27.27048384245948,0.1730227197706699,0.0073582991026341,0.0592537599802017,0.0030225089285522,0.2920588779449463,0.0026044088881462,0.1966035202145576,0.0222206357866525,0.0007209388779103755,0.01003953491150541,10.28048374938154,82.24386999505232,13.925639494716622,20260129_092811
2,2048,OK,flash_attn,0.7293510396778584,0.4789420794695616,65.66688102358802,8.007732465996915,26.32538651041505,0.185661439821124,0.0034670471213757,0.0584044799953699,0.0016801850870251,0.2932806396484375,0.00223129382357,0.1920044802129268,0.0043768943287432,0.0007293510396778584,0.010156679643650614,10.400439955098228,83.20351964078583,13.925639494716622,20260129_092811
4,2048,OK,flash_attn,0.7420966393500567,0.4818444799631834,64.93015254525241,9.058442835625186,26.0114046191224,0.1855231999605894,0.0034078450407832,0.0672223998606205,0.0017481070244684,0.296321280002594,0.002013040240854,0.1930297595262527,0.0036912676878273,0.0007420966393500567,0.010334170269829626,10.582190356305537,84.6575228504443,13.925639494716622,20260129_092811
8,2048,OK,flash_attn,0.7481152008473874,0.4689273615181446,62.68117009078178,11.443627895351645,25.87520201386657,0.169345920830965,0.004854445811361,0.0856115198135376,0.0021037191618233,0.2995814406871795,0.0021835141815245,0.1935763195157051,0.0038462688680738,0.0007481152008473874,0.010417982587518235,10.668014169618672,85.34411335694938,13.925639494716622,20260129_092811
16,2048,OK,flash_attn,0.7633945588395,0.46088831897825,60.3735399527716,16.292115064267968,23.334344982960427,0.1557952004298567,0.0028487588278949,0.1243731199204921,0.0017604287713766,0.3050931185483932,0.0029929231386631,0.1781331199407577,0.0050649936310946,0.0007633945588395,0.010630757418627113,10.885895596674164,87.08716477339331,13.925639494716622,20260129_092811
32,2048,OK,flash_attn,0.8308025595545768,0.4194566398113966,50.48812560667632,33.03346582186125,16.47840857146244,0.1551763200014829,0.0040818890556693,0.2744428795576095,0.0013608679873868,0.2642803198099136,0.0010668273316696,0.1369030401855707,0.0033223896753042,0.0008308025595545768,0.011569456935644873,11.84712390210035,94.7769912168028,13.925639494716622,20260129_092811
64,2048,OK,flash_attn,0.9832115212455392,0.4261254417523742,43.340159522597496,42.61697821347602,14.04286226392649,0.1538995205983519,0.0033123199827969,0.4190150398015976,0.0022444117348641,0.2722259211540222,0.001241568243131,0.1380710396915674,0.0025627587456256,0.0009832115212455392,0.013691849191917292,14.020453572523307,112.16362858018645,13.925639494716622,20260129_092811
