batch_size,seq_len,status,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb
4,8192,OK,1.0414579174295067,0.41819903895258903,40.1551548030644,47.45624288904001,12.388602307895601,0.1613523195683956,0.002524338895455003,0.49423679888248445,0.0007591405883431435,0.2568467193841934,0.0008113549556583166,0.12902207959443332,0.0016920624766498804,
8,8192,OK,1.52265024010092,0.42830784142017364,28.129102149669365,63.13169325839509,8.739204591935552,0.16688383996486664,0.010249203070998192,0.9612748789787292,0.0009567356901243329,0.26142400145530703,0.0008714842842891812,0.1330675197020173,0.0015588602982461452,
16,8192,OK,2.451208961829543,0.43010367929935456,17.546593782781052,76.80434072506705,5.6490654921519035,0.16342527985572816,0.0033463542349636555,1.8826348829269408,0.002515525557100773,0.2666783994436264,0.0008098084363155067,0.13847039960324764,0.0018224812811240554,
32,8192,OK,4.2160595358535655,0.41710144069045785,9.893158223772883,86.73791779892437,3.368923977302731,0.15755711998790503,0.013371423818171024,3.656922254562378,0.0016038293251767755,0.2595443207025528,0.0010873377323150635,0.142035840600729,0.01622678153216839,
64,8192,OK,7.75205761641264,0.42748671859502796,5.514493567358865,92.62073597313447,1.8647704595066623,0.15842496067285539,0.017101479694247246,7.180012817382813,0.0024109038058668375,0.2690617579221726,0.023165738210082054,0.1445580804347992,0.019281042739748955,
1,16384,OK,0.8591468802466988,0.42820992089807985,49.841293816387015,35.476755672752326,14.681950510860666,0.14919679976999758,0.002575836842879653,0.30479743957519534,0.00060015864437446,0.2790131211280823,0.0015142579795792699,0.12613951977342366,0.0020072993356734514,
2,16384,OK,1.0949395206198096,0.44660863943398,40.78842995649379,47.33035123259611,11.881218810910106,0.1660076803714037,0.0026077900547534227,0.5182387208938599,0.0013017437886446714,0.2806009590625763,0.0010341388406232,0.13009216029196977,0.001858025905676186,
4,16384,OK,1.5176947170868518,0.42963200032711035,28.308196338178607,62.94093178741579,8.75087187440559,0.17029183924198152,0.029454370960593224,0.9552511966228485,0.001492118346504867,0.2593401610851288,0.0007950299768708646,0.1328115201368928,0.016226908192038536,
8,16384,OK,2.4284959999844435,0.4261171206831932,17.546544062082987,76.94032845090977,5.513127487007218,0.16531775921583175,0.011748524382710457,1.8684927988052369,0.001948126475326717,0.26079936146736143,0.0009390158229507506,0.13388608049601317,0.002080450300127268,
16,16384,OK,4.23357696954161,0.4290611195936799,10.134718765728179,86.56842279167003,3.2968584426017795,0.1603193599358201,0.01072904746979475,3.6649408102035523,0.004064437933266163,0.2687417596578598,0.016047902405261993,0.13957503974437713,0.005828332621604204,
32,16384,OK,7.729850250892341,0.417004800401628,5.3947332337193545,92.7360662636797,1.8692005026009535,0.15743232067674398,0.014688109047710896,7.168359050750732,0.0043629067949950695,0.259572479724884,0.0009834362426772714,0.1444863997399807,0.023819562047719955,
64,16384,OK,14.699713316895068,0.4259859196469188,2.8979199149231927,96.09932856172523,1.002751523351584,0.159633920006454,0.01749863475561142,14.126325798034667,0.03251597657799721,0.2663519996404648,0.000984339159913361,0.14740159921348095,0.024389030411839485,
1,32768,OK,1.1542419224977494,0.43888384006917475,38.02355741155559,50.290850677737176,11.685591910707222,0.15937728010118007,0.02788919024169445,0.580478081703186,0.002141813049092889,0.27950655996799467,0.0011405885452404618,0.13488000072538853,0.02402043342590332,
2,32768,OK,1.623865605518222,0.4481343978643417,27.5967664036661,64.32382605080704,8.079407545526854,0.16774143815040587,0.0025255882646888494,1.0445324873924255,0.002085520653054118,0.28039295971393585,0.0010912230936810374,0.13119872026145457,0.0017768796533346176,
4,32768,OK,2.4395449596270917,0.421030401289463,17.25856289829648,77.36548371330443,5.375953388399094,0.16406143993139266,0.011455664411187172,1.8873657584190369,0.0024690870195627213,0.25696896135807035,0.0007050708518363535,0.13114879991859196,0.0009852901566773653,
8,32768,OK,4.237203215509653,0.4216844808682799,9.951953196975934,86.88587041937137,3.1621763836526955,0.16060160156339406,0.011634085327386856,3.6815308952331542,0.0035400709602981806,0.2610828793048859,0.0009598559117875993,0.13398783940821887,0.005893401335924864,
16,32768,OK,7.79246147699654,0.42597439989447594,5.466493496977285,92.71333504028858,1.8201714627341414,0.16036416038870813,0.014394119381904602,7.224650917053222,0.00511124636977911,0.26561023950576784,0.0008531433995813131,0.14183616004884242,0.01864621601998806,
32,32768,OK,14.860662374719977,0.41726400002837183,2.807842540977144,96.21904336208492,0.9731140969379367,0.15918975934386254,0.019108911976218224,14.298787174224854,0.023606697097420692,0.2580742406845093,0.000988754560239613,0.14461120046675205,0.016107989475131035,
64,32768,OK,28.843889867588878,0.4296127989888191,1.4894412680155313,97.98517716323175,0.5253815687527172,0.16335296064615248,0.023669429123401642,28.262736587524415,0.07164668291807175,0.26625983834266664,0.0012624566443264484,0.1515404810756445,0.02602851204574108,
1,65536,OK,1.7245055916532874,0.4359155184775591,25.277709773016504,67.1048861419286,7.617404085054901,0.15557759888470174,0.005486540030688047,1.1572275137901307,0.0062005785293877125,0.28033791959285737,0.001295228023082018,0.1313625593855977,0.007094813045114279,
2,65536,OK,2.670166397057474,0.4475417612493038,16.76081916626976,78.28229422278596,4.956886610944261,0.16711359962821007,0.002193306339904666,2.090267515182495,0.003941277973353863,0.28042816162109374,0.001164663815870881,0.13235712062567473,0.004212571308016777,
4,65536,OK,4.340574722513557,0.4300723189488054,9.908188349301298,86.93904943309583,3.1527622176028625,0.16620415929704904,0.012857947498559952,3.7736544036865234,0.1093522161245346,0.2638681596517563,0.011614796705543995,0.1368479998782277,0.019601233303546906,
8,65536,OK,7.873884842991829,0.4238553623855114,5.38305259522261,92.85084182311893,1.7661055816584659,0.1636672006547451,0.015589782036840916,7.310968360900879,0.010684027336537838,0.2601881617307663,0.0008857647771947086,0.1390611197054386,0.016646763309836388,
16,65536,OK,15.08972287096083,0.4361164789646864,2.89015565556849,96.12761079783351,0.9822335465980042,0.16966080002486705,0.03597348928451538,14.505390071868897,0.014097594656050205,0.26645567893981936,0.001008903607726097,0.14821632012724875,0.0305276270955801,
32,65536,OK,29.239603730216626,0.42070719949901103,1.4388266112657546,98.05555121657471,0.5056221721595175,0.16134335927665233,0.01904205046594143,28.671054611206056,0.05115775391459465,0.2593638402223587,0.0013585316482931376,0.14784191951155662,0.023779645562171936,
64,65536,OOM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.25
1,131072,OK,2.6678611163422463,0.40204928085207936,15.070097854393053,80.16414882204862,4.765753323558336,0.14883392080664634,0.0013407064834609628,2.138668155670166,0.02460429258644581,0.25321536004543305,0.0011766345705837011,0.12714367982000113,0.001376366475597024,
2,131072,OK,4.753888005241752,0.4510572796314955,9.488176396544235,87.68693920681862,2.8248843966371444,0.17087808005511762,0.014363223686814308,4.168538885116577,0.007969619706273079,0.2801791995763779,0.0012721377424895763,0.13429184049367904,0.0065638218075037,
4,131072,OK,8.038919024392962,0.42488320149481296,5.285327544730392,93.03203428831307,1.6826381669565376,0.16538751937448978,0.02860075607895851,7.478769903182983,0.18755924701690674,0.2594956821203232,0.007776268757879734,0.1352659197151661,0.01856457069516182,
8,131072,OK,15.377636503390967,0.4297132804617286,2.794403940858995,96.25996933443895,0.9456267247020608,0.1696659192070365,0.03650909662246704,14.802508182525635,0.013846244663000107,0.2600473612546921,0.0008355436148121953,0.1454150404036045,0.03465144336223602,
16,131072,OK,29.926524234116073,0.4320620787888766,1.4437429332215206,98.06622916031023,0.4900279064682682,0.16490239925682545,0.019720766693353653,29.34781383514404,0.02979101985692978,0.2671596795320511,0.0008537623798474669,0.14664832018315793,0.020588934421539307,
32,131072,OOM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.25
64,131072,OOM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160.5
