batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb
8,1024,OK,manual,1.014667521491647,0.4210995198041201,41.50123177147409,45.97103110335423,12.527737125171663,0.15924287982285024,0.008135524578392506,0.4664531219005585,0.019496457651257515,0.26185663998126985,0.026007475331425667,0.12711487978696823,0.005493625998497009,
16,1024,OK,manual,1.3806700792536137,0.4196460797265172,30.39437777585335,60.221610672925216,9.384011551221448,0.15674240071326495,0.00543937087059021,0.8314617598056793,0.005747578106820583,0.26290367901325223,0.0009374159853905439,0.12956223972141742,0.0059136077761650085,
32,1024,OK,manual,2.1311039996519683,0.4201216009631753,19.713800970378994,73.95519311743301,6.331005912187999,0.15954687986522914,0.006413424853235483,1.5760620784759523,0.001952730119228363,0.26057472109794616,0.017551230266690254,0.13492032021284103,0.002555104438215494,
64,1024,OK,manual,3.6399084651097655,0.42977344010025265,11.80725955665735,84.30000077832995,3.8927396650127086,0.16434112045913934,0.02262767404317856,3.0684428644180297,0.03054664470255375,0.2654323196411133,0.0012484883191064,0.14169216059148312,0.009904499165713787,
1,2048,OK,manual,0.8850771182775496,0.48015679940581324,54.25027825148698,23.762683991427572,21.98703775708546,0.18674432083964349,0.025351352989673615,0.21031807869672775,0.009386525489389896,0.29341247856616975,0.012636619620025158,0.19460224017500877,0.010797151364386082,
2,2048,OK,manual,0.9578956785798074,0.4481235197931528,46.78207969969636,33.66893555683713,19.548984743466495,0.16202752031385897,0.01917821541428566,0.3225132787227631,0.39121153950691223,0.2860959994792938,0.0027719896752387285,0.1872588800638914,0.03197900205850601,
4,2048,OK,manual,0.9942246400937438,0.41106559984385965,41.34534422774927,46.17174646076141,12.482909311489317,0.15667455963790416,0.010484342463314533,0.459050880074501,0.021033402532339096,0.2543910402059555,0.000868355215061456,0.12410816017538309,0.012981748208403587,
8,2048,OK,manual,1.3840646381676198,0.4174771209806204,30.163123127928728,60.43602113811313,9.400855733958135,0.15849279962480067,0.006117280572652817,0.8364735972881318,0.020174244418740273,0.2589843213558197,0.0009729475132189691,0.1301139198988676,0.006981066428124905,
16,2048,OK,manual,2.1307641629874707,0.4234489610046148,19.873103197442166,73.78139494722132,6.345501855336511,0.15997504018247127,0.008000937290489674,1.5721075224876404,0.0035765336360782385,0.26347392082214355,0.001142090535722673,0.13520767949521542,0.006427947897464037,
32,2048,OK,manual,3.6067257751151924,0.4186393607780337,11.60718576572856,84.64026945261698,3.7525447816544424,0.1577241600677371,0.006892127450555563,3.0527424144744875,0.012055992148816586,0.2609152007102966,0.025393448770046234,0.1353439998626709,0.005263361614197493,
64,2048,OK,manual,6.615127663463355,0.42441535860300067,6.415830203053068,91.48944136492366,2.0947284320232638,0.15940160006284715,0.006117844022810459,6.05214334487915,0.015327089466154575,0.2650137585401535,0.0008289662073366344,0.13856895998120308,0.005142688285559416,
1,4096,OK,manual,0.9144044806808234,0.46376703985035417,50.71793168653927,28.01176129689992,21.270307016560803,0.15313087947666645,0.006942418869584799,0.2561408004164696,0.027034206315875053,0.31063616037368774,0.005607172846794128,0.19449664041399956,0.02511480264365673,
2,4096,OK,manual,0.9847507185861468,0.4106752001121641,41.703467929608614,45.64615085819894,12.650381212192455,0.15941759992390872,0.0048722983337938786,0.4495007985830307,0.003217110177502036,0.2512576001882553,0.0009539948077872396,0.1245747198909521,0.004435167647898197,
4,4096,OK,manual,1.3675769559666515,0.41699647933244705,30.49162809545144,60.22199141577597,9.286380488772586,0.16221632033586503,0.006021797191351652,0.8235820770263672,0.0032065152190625668,0.254780158996582,0.0009929052321240306,0.1269983996078372,0.005214909091591835,
8,4096,OK,manual,2.1042079986631874,0.42090880136936903,20.0031936784184,73.85408277603842,6.142723545543158,0.16162880044430494,0.004929692018777132,1.554043517112732,0.004339828621596098,0.2592800009250641,0.0014767518732696772,0.12925568018108607,0.003273856593295932,
16,4096,OK,manual,3.5852345655858517,0.42259263902902605,11.787029029716262,84.37018755505821,3.842783415225527,0.1591583988070488,0.007987731136381626,3.0248691272735595,0.004067025147378445,0.26343424022197726,0.0010743405437096953,0.13777279928326608,0.029074540361762047,
